Date,Close,High,Low,Open,Volume,Daily_Return,MA_30,Volatility
01-01-2024,1279.692993,1287.894143,1271.244822,1274.900807,4030540,,,
02-01-2024,1290.290039,1291.920403,1271.170629,1277.099136,7448800,0.008280928,,
03-01-2024,1276.259277,1301.307194,1273.245572,1289.45018,9037536,-0.010874115,,
04-01-2024,1282.854614,1289.376068,1274.18427,1278.581198,9612778,0.005167709,,
05-01-2024,1288.313843,1294.316528,1283.521657,1285.942416,8086406,0.004255532,,
08-01-2024,1278.260254,1300.294466,1269.169804,1289.450263,7734652,-0.00780368,,
09-01-2024,1274.875854,1287.869188,1273.245491,1284.509677,5403074,-0.002647661,,
10-01-2024,1309.261353,1313.65828,1272.183459,1273.146818,11102740,0.026971644,,
11-01-2024,1343.696167,1346.265163,1312.670289,1313.658373,23725852,0.026300948,,
12-01-2024,1354.391968,1356.960963,1329.714584,1343.696002,15012164,0.007959985,,
15-01-2024,1377.513184,1379.810432,1349.723309,1358.616069,8610594,0.017071288,,
16-01-2024,1358.245483,1379.66226,1354.169635,1373.412554,9069024,-0.013987307,,
17-01-2024,1345.351074,1369.756833,1338.879193,1343.300847,12197382,-0.009493431,,
18-01-2024,1351.650024,1354.66373,1335.149063,1335.2973,10279438,0.004682012,,
19-01-2024,1351.156006,1359.604176,1342.806741,1359.604176,10422704,-0.000365493,,
23-01-2024,1312.744263,1355.404857,1306.79115,1355.404857,20055420,-0.028428799,,
24-01-2024,1327.861938,1333.419913,1308.149703,1319.314984,21919128,0.011516086,,
25-01-2024,1336.952271,1347.895378,1319.290262,1326.947916,11808872,0.006845841,,
29-01-2024,1430.795776,1435.192704,1343.967853,1348.24127,23893438,0.070192114,,
30-01-2024,1390.852295,1442.578489,1387.690473,1442.553763,14093978,-0.027916969,,
31-01-2024,1409.625854,1417.159998,1385.788319,1387.270446,15130226,0.013497882,,
01-02-2024,1409.650635,1426.151596,1401.153133,1417.901115,13349362,1.76E-05,,
02-02-2024,1440.330688,1457.325814,1416.098013,1416.098013,19652588,0.021764296,,
05-02-2024,1421.878174,1452.978106,1414.467541,1443.344283,8814432,-0.012811304,,
06-02-2024,1410.786987,1424.669501,1402.906918,1424.669501,9047984,-0.007800378,,
07-02-2024,1424.965942,1432.228339,1412.219629,1418.815141,9296568,0.010050387,,
08-02-2024,1432.845947,1442.084513,1410.515263,1432.722437,14694634,0.00552996,,
09-02-2024,1443.344238,1454.435461,1433.660963,1436.674669,12556798,0.00732688,,
12-02-2024,1435.044434,1443.591388,1425.163589,1443.344367,6674430,-0.005750399,,
13-02-2024,1447.642334,1461.37673,1436.674622,1438.156748,7715594,0.008778753,1361.237797,
14-02-2024,1463.723511,1465.971427,1440.132996,1440.132996,7117888,0.011108529,1367.372148,0.018314205
15-02-2024,1453.077026,1467.03372,1449.05063,1465.675104,10006782,-0.007273562,1372.798381,0.018427634
16-02-2024,1443.171387,1459.400722,1441.170612,1458.881953,9767498,-0.006817009,1378.362118,0.018328348
19-02-2024,1456.436401,1461.870866,1436.205397,1444.628841,6729828,0.009191573,1384.148177,0.018349895
20-02-2024,1453.496948,1457.918602,1444.381893,1457.449286,7117496,-0.00201825,1389.654281,0.018387296
21-02-2024,1450.211548,1470.78848,1440.182587,1456.436528,12720292,-0.002260342,1395.38599,0.018290213
22-02-2024,1464.094116,1467.255938,1440.627111,1450.656192,18493728,0.009572788,1401.693266,0.018264492
23-02-2024,1475.827637,1479.705916,1465.675045,1471.751788,14438584,0.008014185,1407.245475,0.017792133
26-02-2024,1469.602661,1476.716942,1464.835202,1475.753583,7513106,-0.004217956,1411.442358,0.017348901
27-02-2024,1467.947632,1482.077167,1460.438214,1465.35391,10826044,-0.001126175,1415.227547,0.01734103
28-02-2024,1438.280396,1473.505629,1432.895384,1465.329207,8647950,-0.02021001,1417.253121,0.017618866
29-02-2024,1443.393799,1461.352161,1437.193545,1447.543705,23628976,0.00355522,1420.091398,0.017373547
01-03-2024,1474.345459,1482.126624,1445.073458,1446.061543,12132926,0.02144367,1424.391211,0.017574264
04-03-2024,1489.438477,1494.428231,1469.503825,1472.7151,10024420,0.010237097,1428.984159,0.017619591
05-03-2024,1482.324341,1489.438622,1468.343041,1487.832984,7107668,-0.004776388,1433.356437,0.017670325
06-03-2024,1485.09082,1491.019327,1460.882753,1475.654566,7805676,0.001866312,1439.101322,0.016633246
07-03-2024,1461.302856,1485.189726,1457.968071,1485.066215,8315726,-0.016017851,1443.549353,0.016974683
11-03-2024,1449.124634,1471.25775,1446.061596,1471.25775,11277130,-0.008333812,1447.288432,0.017092201
12-03-2024,1457.844482,1470.269596,1447.56838,1449.124565,9432678,0.006017321,1448.190055,0.011457606
13-03-2024,1415.109863,1465.42799,1410.762268,1462.142658,13522134,-0.029313565,1448.998641,0.011580021
14-03-2024,1414.418091,1431.264978,1408.514311,1422.545061,18571102,-0.000488847,1449.158382,0.011323276
15-03-2024,1401.32605,1416.147317,1396.064548,1408.958978,19223818,-0.009256132,1448.880896,0.011453565
18-03-2024,1422.322876,1424.546066,1399.646386,1403.079955,9169392,0.014983541,1448.280636,0.011066905
